,GEOID,Region,VMT,Area in squaremile,Area normalized VMT,Statewide percentile rank,County percentile rank
237,6037408623,Los Angeles,5411842.11,0.370745003,14597208.49,100,99
238,6031000402,Kings,5465831.643,25.62849998,213271.6174,60,77
239,6065042212,Riverside,6406936.246,1.480270028,4328221.287,95,93
240,6037550502,Los Angeles,4268206.495,0.68601799,6221712.195,98,95
241,6097151205,Sonoma,5449659.556,5.450230122,999895.3136,81,88
242,6037404401,Los Angeles,4963378.864,0.560046971,8862433.193,99,97
243,6065045303,Riverside,6750716.461,1.247550011,5411179.033,97,96
244,6081984300,San Mateo,5358771.389,4.451310158,1203863.851,82,85
245,6001450400,Alameda,3588764.214,1.215610027,2952233.145,92,88
246,6037531302,Los Angeles,4373376.073,0.345396012,12661918.26,100,99
247,6099000602,Stanislaus,5540834.1,1.51196003,3664669.695,94,93
248,6029003220,Kern,4975176.166,15.64540005,317996.0979,68,62
249,6077005141,San Joaquin,5322938.966,0.568199992,9368072.931,99,98
250,6037910810,Los Angeles,4133577.223,8.54706955,483625.0833,73,71
251,6059042106,Orange,4013295.95,1.282649994,3128909.655,93,91
252,6065030103,Riverside,5765361.794,0.388590991,14836581.19,100,100
253,6065045217,Riverside,6508022.426,1.119940042,5811045.395,97,96
254,6067004013,Sacramento,5809838.499,0.910956979,6377730.929,98,98
255,6073016202,San Diego,3091680.801,2.582499981,1197165.856,82,85
256,6037103202,Los Angeles,4701731.027,1.82949996,2569954.157,91,86
257,6073010017,San Diego,4250179.593,1.114770055,3812606.532,94,98
258,6067004014,Sacramento,5789085.213,0.404183,14322930.97,100,100
259,6077002100,San Joaquin,5394117.225,1.278759956,4218240.647,95,92
260,6037403305,Los Angeles,4591674.239,0.572044015,8026784.862,98,97
261,6077005312,San Joaquin,5289847.254,0.499581009,10588567.53,99,99
262,6037800324,Los Angeles,4350795.384,1.385149956,3141028.425,93,89
263,6037187300,Los Angeles,4369151.519,0.451292992,9681407.865,99,98
264,6085512401,Santa Clara,5281593.858,15.97410011,330634.8289,68,66
265,6037542200,Los Angeles,5327009.74,0.535039008,9956301.622,99,98
